OID_,sci_name,class,family,order_,biome_freshwater,biome_marine,biome_terrestrial,category,criteria,common_name,movementpattern,Range_Areakm2,FW_Width,FW_Length,Igola_Luhololo,Luisenga,Mwenga,Sens_Score,Sens_Score_1
12,Acrocephalus gracilirostris,AVES,ACROCEPHALIDAE,PASSERIFORMES,true,true,true,LC,,Lesser Swamp-warbler,Not a Migrant,4810406.992583389393985,,,0.011412437351739,0.008027125407623,0.008956015981127,,
13,Acrocephalus palustris,AVES,ACROCEPHALIDAE,PASSERIFORMES,true,false,true,LC,,Marsh Warbler,Full Migrant,8255496.377829132601619,,,0.006649929444177,0.004677337185306,0.005218593762212,,
14,Acrocephalus schoenobaenus,AVES,ACROCEPHALIDAE,PASSERIFORMES,true,false,true,LC,,Sedge Warbler,Full Migrant,39151681.428580969572067,,,0.001402199508069,0.000986260073188,0.001100389059405,,
15,Acrocephalus scirpaceus,AVES,ACROCEPHALIDAE,PASSERIFORMES,true,false,true,LC,,Common Reed-warbler,Full Migrant,41060322.513521313667297,,,0.001337019903367,0.000940414926806,0.001049238760536,,
16,Acrophymus cuspidatus,INSECTA,ACRIDIDAE,ORTHOPTERA,false,false,true,LC,,Miombo Agile Grasshopper,Not a Migrant,839336.575664389878511,,,,0.005765658963568,0.009831897112777,,
17,Acrotylus patruelis,INSECTA,ACRIDIDAE,ORTHOPTERA,false,false,true,LC,,Slender Digging Grasshopper,Not a Migrant,34509532.729773022234440,,,0.001590820393574,0.001118929673535,0.001248411047424,,
18,Actitis hypoleucos,AVES,SCOLOPACIDAE,CHARADRIIFORMES,true,true,true,LC,,Common Sandpiper,Full Migrant,61235378.928798295557499,,,0.000896515533987,0.000630578937644,0.000703548874114,10.000000000000000,10.000000000000000
19,Actophilornis africanus,AVES,JACANIDAE,CHARADRIIFORMES,true,true,true,LC,,African Jacana,Nomadic,16987771.070925053209066,,,0.003231646353722,0.002273031584306,0.002536064426665,,
20,Adenostemma caffrum,MAGNOLIOPSIDA,ASTERACEAE,ASTERALES,true,false,true,LC,,,,10030901.457904594019055,,,,0.003849478568789,0.004294936211077,,
21,Aepyceros melampus,MAMMALIA,BOVIDAE,CETARTIODACTYLA,false,false,true,LC,,Impala,,3498062.789723287802190,,,0.015693963127394,0.011038606941138,0.012315983014333,,
22,Aethomys chrysophilus,MAMMALIA,MURIDAE,RODENTIA,false,false,true,LC,,Red Rock Rat,,4154303.102924458216876,,,0.013214844242005,0.009294877921641,0.010370471492794,,
23,Aethomys kaiseri,MAMMALIA,MURIDAE,RODENTIA,false,false,true,LC,,Kaiser's Rock Rat,,1693323.931883387500420,,,0.032420535377520,0.022803516482654,0.025442315607851,,
24,Aethriamanta rezia,INSECTA,LIBELLULIDAE,ODONATA,true,false,true,LC,,Pygmy Basker,,11210686.999282695353031,,,0.004896976290814,0.003444368770054,0.003842947528912,,
25,Africallagma elongatum,INSECTA,COENAGRIONIDAE,ODONATA,true,false,true,LC,,Elongate Bluet,,1957126.164448697818443,,,,0.019729816550714,0.022012930325381,,
26,Africallagma glaucum,INSECTA,COENAGRIONIDAE,ODONATA,true,false,true,LC,,Swamp Bluet,,7294291.872988656163216,,,0.007526223161226,0.005293692775602,0.005906273378070,,
27,Africallagma subtile,INSECTA,COENAGRIONIDAE,ODONATA,true,false,true,LC,,Fragile Bluet,,8735486.070458263158798,,,0.006284535055798,0.004420331035929,0.004931847129492,,
28,Africanogyrus coretus,GASTROPODA,PLANORBIDAE,HYGROPHILA,true,false,false,LC,,,,10689123.026550322771072,,,0.005135918849738,,,,
29,Afrixalus delicatus,AMPHIBIA,HYPEROLIIDAE,ANURA,true,false,true,LC,,Delicate Leaf-folding Frog,,748759.796545860357583,,,,,0.000856701771321,,
30,Afrixalus morerei,AMPHIBIA,HYPEROLIIDAE,ANURA,true,false,true,VU,B1ab(iii),,Not a Migrant,9049.251151653788838,,,,1.565968645723094,3.991320980489151,,
31,Afrixalus quadrivittatus,AMPHIBIA,HYPEROLIIDAE,ANURA,true,false,true,LC,,,,5187441.811838278546929,,,,0.006612220103330,0.008305072801585,,
32,Afrixalus stuhlmanni,AMPHIBIA,HYPEROLIIDAE,ANURA,true,false,true,LC,,,Not a Migrant,109434.798223277350189,,,,,0.000009578015765,,
33,Afrotyphlops lineolatus,REPTILIA,TYPHLOPIDAE,SQUAMATA,false,false,true,LC,,Common Lined Worm Snake,,6829683.520969080738723,,,,,0.000241151442452,,
34,Afrotyphlops mucruso,REPTILIA,TYPHLOPIDAE,SQUAMATA,false,false,true,LC,,Zambezi Giant Blind-snake,,3739105.049127574078739,,,0.014682248216598,0.010327000628181,0.011522030361612,,
35,Afrotyphlops nigrocandidus,REPTILIA,TYPHLOPIDAE,SQUAMATA,false,false,true,NT,,,,7697.530093858293185,,,,0.939456560007181,1.593473548166132,,
36,Agama dodomae,REPTILIA,AGAMIDAE,SQUAMATA,false,false,true,LC,,,,284552.847545874537900,,,0.100932175226083,0.135699714566906,0.151402743894025,,
37,Agama mossambica,REPTILIA,AGAMIDAE,SQUAMATA,false,false,true,LC,,Mozambique Agama,,824267.308671510079876,,,0.066602748722022,0.046846138121637,0.052267124327350,,
38,Agapornis lilianae,AVES,PSITTACIDAE,PSITTACIFORMES,false,false,true,NT,,Nyasa Lovebird,Not a Migrant,211626.265716432244517,,,0.259412357220285,0.182461945640131,0.173709964850359,20.000000000000000,20.000000000000000
39,Agapornis personatus,AVES,PSITTACIDAE,PSITTACIFORMES,false,false,true,LC,,Yellow-collared Lovebird,Not a Migrant,233269.001152393757366,,,,,0.024479195756373,10.000000000000000,10.000000000000000
40,Agricola pallidus,AVES,MUSCICAPIDAE,PASSERIFORMES,false,false,true,LC,,Pale Flycatcher,Not a Migrant,9110376.035343777388334,,,0.006025927824082,0.004238435388547,0.004728902707656,,
41,Agriocnemis exilis,INSECTA,COENAGRIONIDAE,ODONATA,true,false,true,LC,,Little Wisp,,15743001.438308075070381,,,0.003487166577120,0.002452755933644,0.002736586290113,,
42,Agriocnemis gratiosa,INSECTA,COENAGRIONIDAE,ODONATA,true,false,true,LC,,Gracious Wisp,,4396008.705742549151182,,,0.012488252893474,0.008783817953030,0.009800272198057,,
43,Alcedo semitorquata,AVES,ALCEDINIDAE,CORACIIFORMES,true,true,true,LC,,Half-collared Kingfisher,Not a Migrant,3463964.189762272406369,,,0.015848451494238,0.011147268873419,0.012437219191998,,
44,Alcelaphus buselaphus,MAMMALIA,BOVIDAE,CETARTIODACTYLA,false,false,true,LC,,Hartebeest,,6856206.227243361063302,,,,0.005631939721670,0.006283661907677,,
45,Alisma plantago-aquatica,LILIOPSIDA,ALISMATACEAE,ALISMATALES,true,false,false,LC,,Common Water-plantain,,52086698.655889719724655,,,,0.000741335910849,0.000827122528650,,
46,Aloe duckeri,LILIOPSIDA,ASPHODELACEAE,ASPARAGALES,false,false,true,LC,,,,62232.890848035247473,,,0.008687912078541,,,,
47,Aloe nuttii,LILIOPSIDA,ASPHODELACEAE,ASPARAGALES,false,false,true,LC,,,,352934.603169905254617,,,0.155548557568887,0.109407634854627,0.122068172160959,,
48,Alopochen aegyptiaca,AVES,ANATIDAE,ANSERIFORMES,true,false,true,LC,,Egyptian Goose,Not a Migrant,17932275.187518902122974,,,0.003061433525035,0.002153309593311,0.002402488331837,15.000000000000000,10.000000000000000
49,Alternanthera sessilis,MAGNOLIOPSIDA,AMARANTHACEAE,CARYOPHYLLALES,true,false,true,LC,,Sessile Joyweed,,29517682.194178193807602,,,0.001859850244273,0.001308156241305,0.001459534716103,,
50,Amandava subflava,AVES,ESTRILDIDAE,PASSERIFORMES,true,false,true,LC,,Zebra Waxbill,Not a Migrant,3352928.998476929031312,,,,,0.011904490339120,,
51,Amaurornis marginalis,AVES,RALLIDAE,GRUIFORMES,true,false,true,LC,,Striped Crake,Full Migrant,4694864.268404352478683,,,0.011693302575046,0.008224676579265,0.009176427568149,10.000000000000000,10.000000000000000
52,Amblyospiza albifrons,AVES,PLOCEIDAE,PASSERIFORMES,true,false,true,LC,,Thick-billed Weaver,Not a Migrant,3499986.868903360329568,,,0.015685335544252,0.011032538588716,0.012309212438503,,
53,Amietia nutti,AMPHIBIA,PYXICEPHALIDAE,ANURA,true,false,true,LC,,Nutt's River Frog,Not a Migrant,588912.466738024959341,,,,0.065567877014145,0.073155323302858,,
54,Amietia tenuoplicata,AMPHIBIA,PYXICEPHALIDAE,ANURA,true,false,true,LC,,Amani River Frog,Not a Migrant,6558.022782858762184,,,,0.938081004054418,,,
55,Amnirana galamensis,AMPHIBIA,RANIDAE,ANURA,true,false,true,LC,,,,5151288.521190560422838,,,0.010657230363509,0.007495938158450,0.008363360297929,,
56,Anaciaeschna triangulifera,INSECTA,AESHNIDAE,ODONATA,true,false,true,LC,,Evening Hawker,,4479267.533550836145878,,,0.012256126259042,0.008620547869032,0.009618108670359,,
57,Anaplectes leuconotos,AVES,PLOCEIDAE,PASSERIFORMES,false,false,true,LC,,Northern Red-headed Weaver,Not a Migrant,3232406.645487878005952,,,0.016983775390964,0.011945817598499,0.013328175142024,,
58,Anaplectes rubriceps,AVES,PLOCEIDAE,PASSERIFORMES,false,false,true,LC,,Southern Red-headed Weaver,Not a Migrant,3257989.932956778444350,,,0.016850410703818,0.011852013353562,0.013223515967775,,
59,Anas erythrorhyncha,AVES,ANATIDAE,ANSERIFORMES,true,false,true,LC,,Red-billed Teal,Not a Migrant,10763513.747573377564549,,,0.005100422568941,0.003587466053999,0.004002603881192,15.000000000000000,10.000000000000000
60,Anas sparsa,AVES,ANATIDAE,ANSERIFORMES,true,true,true,LC,,African Black Duck,Not a Migrant,9211001.957381822168827,,,0.005960097358923,0.004192132448765,0.004677241640013,15.000000000000000,10.000000000000000
61,Anas undulata,AVES,ANATIDAE,ANSERIFORMES,true,true,true,LC,,Yellow-billed Duck,Nomadic,8476678.380936082452536,,,0.006476412808429,0.004555291407306,0.005082424974173,15.000000000000000,10.000000000000000
62,Anastomus lamelligerus,AVES,CICONIIDAE,CICONIIFORMES,true,false,true,LC,,African Openbill,Full Migrant,13408493.500583611428738,,,0.004094305481584,0.002879797062175,0.003213044172295,15.000000000000000,20.000000000000000
63,Anax ephippiger,INSECTA,AESHNIDAE,ODONATA,true,false,true,LC,,Vagrant Emperor,Full Migrant,46413617.344947502017021,,,0.001182809519698,0.000831948518561,0.000928220732746,,
64,Anax imperator,INSECTA,AESHNIDAE,ODONATA,true,false,true,LC,,Blue Emperor,Nomadic,46687701.901872627437115,,,0.001175865724867,0.000827064486325,0.000922771525398,,
65,Anax speratus,INSECTA,AESHNIDAE,ODONATA,true,false,true,LC,,Orange Emperor,Not a Migrant,11432064.122484169900417,,,0.004802148400415,0.003377670014572,0.003768530463066,,
66,Anax tristis,INSECTA,AESHNIDAE,ODONATA,true,false,true,LC,,Black Emperor,Nomadic,12600478.188256595283747,,,0.004356855955704,0.003064466253921,0.003419083090153,,
67,Andronymus caesar,INSECTA,HESPERIIDAE,LEPIDOPTERA,false,false,true,LC,,White Dart,,11842409.409571407362819,,,0.004635751605991,0.003260632094003,0.003637949036493,,
68,Andronymus caesar ssp. philander,INSECTA,HESPERIIDAE,LEPIDOPTERA,false,false,true,LC,,White Dart,,8074357.400946171954274,,,0.006799113008398,0.004782267897461,0.005335666946853,,
69,Anguilla bengalensis,ACTINOPTERYGII,ANGUILLIDAE,ANGUILLIFORMES,true,true,false,NT,,Indian Mottled Eel,Full Migrant,12516373.119807841256261,,,0.004386132301565,0.003085058253023,0.003442057973897,,
70,Anguilla bicolor,ACTINOPTERYGII,ANGUILLIDAE,ANGUILLIFORMES,true,true,false,NT,,Shortfin Eel,Full Migrant,21940744.420032504945993,,,0.002502124239190,0.001759910213252,0.001963565186146,,
71,Anguilla marmorata,ACTINOPTERYGII,ANGUILLIDAE,ANGUILLIFORMES,true,true,false,LC,,Marbled Eel,Full Migrant,17810442.031732302159071,,,0.003082375403228,0.002168039407578,0.002418922664836,,
72,Anguilla mossambica,ACTINOPTERYGII,ANGUILLIDAE,ANGUILLIFORMES,true,true,false,NT,,African Longfin Eel,Full Migrant,5061344.961711358278990,,,0.010846616631454,0.007629146103118,0.008511982926913,,
73,Anhinga rufa,AVES,ANHINGIDAE,SULIFORMES,true,true,true,LC,,African Darter,Not a Migrant,17976270.799468684941530,,,0.003053940889723,0.002148039525101,0.002396608416835,15.000000000000000,10.000000000000000
74,Anomalurus derbianus,MAMMALIA,ANOMALURIDAE,RODENTIA,false,false,true,LC,,Lord Derby's Scaly-tailed Squirrel,,5752689.119203611277044,,,0.009543096680814,0.006712293918730,0.007489033564753,,
75,Anthene dulcis,INSECTA,LYCAENIDAE,LEPIDOPTERA,false,false,true,LC,,Mashuna Hairtail,,7933646.154314687475562,,,0.006919702161076,0.004867086260228,0.005430300402026,,
76,Anthoscopus caroli,AVES,REMIZIDAE,PASSERIFORMES,false,false,true,LC,,Grey Penduline-tit,Not a Migrant,4646644.042381025850773,,,0.011814649010880,0.008310027589587,0.009271655308296,,
77,Anthreptes longuemarei,AVES,NECTARINIIDAE,PASSERIFORMES,true,false,true,LC,,Western Violet-backed Sunbird,Not a Migrant,5262245.619813080877066,,,0.010432517294998,0.007337882527906,0.008187014634797,,
78,Anthreptes neglectus,AVES,NECTARINIIDAE,PASSERIFORMES,true,false,true,LC,,Uluguru Violet-backed Sunbird,Not a Migrant,250651.174272627278697,578.346718215270698,1344.868987403052870,,0.154053697546920,0.171880630626706,,
79,Anthus cinnamomeus,AVES,MOTACILLIDAE,PASSERIFORMES,false,false,true,LC,,African Pipit,Full Migrant,9825244.598041879013181,,,0.005587491272244,0.003930053832845,0.004384835560215,,15.000000000000000
80,Anthus lineiventris,AVES,MOTACILLIDAE,PASSERIFORMES,false,false,true,LC,,Striped Pipit,Not a Migrant,1635116.313674978911877,,,0.033574656420521,0.023615286489552,0.026348022792626,,15.000000000000000
81,Anthus nyassae,AVES,MOTACILLIDAE,PASSERIFORMES,false,false,true,LC,,Woodland Pipit,Not a Migrant,3379588.259037602227181,,,0.016244129234506,,,,15.000000000000000
82,Anthus trivialis,AVES,MOTACILLIDAE,PASSERIFORMES,false,false,true,LC,,Tree Pipit,Full Migrant,56593105.531045749783516,,,0.000970055767820,0.000682304669957,0.000761260254178,,15.000000000000000
83,Anthus vaalensis,AVES,MOTACILLIDAE,PASSERIFORMES,false,false,true,LC,,Buffy Pipit,Not a Migrant,4452532.186661128886044,,,0.012329718492253,,,,15.000000000000000
84,Aonyx capensis,MAMMALIA,MUSTELIDAE,CARNIVORA,true,true,true,NT,,African Clawless Otter,Not a Migrant,11816824.535954982042313,,,0.004645788576465,0.003267691762172,0.003645825642093,,
85,Apalis alticola,AVES,CISTICOLIDAE,PASSERIFORMES,false,false,true,LC,,Brown-headed Apalis,Not a Migrant,618213.003374901250936,,,0.073635312526920,0.023036497824043,0.058623288697974,,
86,Apalis chapini,AVES,CISTICOLIDAE,PASSERIFORMES,false,false,true,LC,,Chapin's Apalis,Not a Migrant,57820.815597601307672,,,0.724225772722477,0.238232757772465,0.513142151853815,,
87,Apalis chariessa,AVES,CISTICOLIDAE,PASSERIFORMES,false,false,true,NT,,White-winged Apalis,Not a Migrant,21433.730142431402783,,,,0.496217023363589,1.662045068646370,,
88,Apalis flavida,AVES,CISTICOLIDAE,PASSERIFORMES,false,false,true,LC,,Yellow-breasted Apalis,Not a Migrant,4880603.757228389382362,,,0.011248294508219,0.007911672840473,0.008827203363415,,
89,Apalis melanocephala,AVES,CISTICOLIDAE,PASSERIFORMES,false,false,true,LC,,Black-headed Apalis,Altitudinal Migrant,375851.999422237451654,,,,0.086127028028313,0.114625123632519,,
90,Apalis thoracica,AVES,CISTICOLIDAE,PASSERIFORMES,false,false,true,LC,,Bar-throated Apalis,Altitudinal Migrant,1229633.160298849921674,,,0.044646216621129,0.031402650349630,0.035036532270188,,
91,Apaloderma narina,AVES,TROGONIDAE,TROGONIFORMES,true,false,true,LC,,Narina Trogon,Altitudinal Migrant,10931193.727829562500119,,,0.005022184201114,0.003532435811916,0.003941205596935,,10.000000000000000
92,Apaloderma vittatum,AVES,TROGONIDAE,TROGONIFORMES,false,false,true,LC,,Bar-tailed Trogon,Not a Migrant,485909.799547928967513,,,0.112980780569360,,,,10.000000000000000
93,Aparallactus lunulatus,REPTILIA,ATRACTASPIDIDAE,SQUAMATA,false,false,true,LC,,Plumbeous Centipede Eater,,3926882.506816937588155,,,0.000067664124583,0.009833179404819,0.010971064661730,,
94,Aplocheilichthys kongoranensis,ACTINOPTERYGII,POECILIIDAE,CYPRINODONTIFORMES,true,false,false,LC,,Kongoro Lampeye,,191396.895660687267082,463.254414922977389,570.303949473652665,,0.201746951317491,0.225092897941670,,
95,Aplopelia larvata,AVES,COLUMBIDAE,COLUMBIFORMES,true,false,true,LC,,Lemon Dove,Not a Migrant,2621930.041820612270385,,,0.020938189640295,,,10.000000000000000,10.000000000000000
96,Aponogeton nudiflorus,LILIOPSIDA,APONOGETONACEAE,ALISMATALES,true,false,false,LC,,,,2594757.221371077001095,,,0.021157458581122,0.014881446276801,0.016603511706787,,
97,Aponogeton rehmannii,LILIOPSIDA,APONOGETONACEAE,ALISMATALES,true,false,true,LC,,,,5545786.127166160382330,,,0.009899131913924,0.006962717152402,0.007768435513635,,
98,Aponogeton stuhlmannii,LILIOPSIDA,APONOGETONACEAE,ALISMATALES,true,false,false,LC,,,,8725883.156951433047652,,,0.006291451243590,0.004425195650301,0.004937274671961,,
99,Apus affinis,AVES,APODIDAE,CAPRIMULGIFORMES,false,false,true,LC,,Little Swift,Full Migrant,22140722.822907876223326,,,0.002479524669467,0.001744014434399,0.001945829964355,,10.000000000000000
100,Apus apus,AVES,APODIDAE,CAPRIMULGIFORMES,true,false,true,LC,,Common Swift,Full Migrant,42970245.885925851762295,,,0.001277592606404,0.000898615760629,0.001002602638479,,10.000000000000000
101,Apus caffer,AVES,APODIDAE,CAPRIMULGIFORMES,false,false,true,LC,,White-rumped Swift,Full Migrant,12490159.519675303250551,,,0.004395337653834,0.003091532988858,0.003449281959405,,10.000000000000000
102,Aquila nipalensis,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,false,false,true,EN,A2abcd+3bcd+4abcd,Steppe Eagle,Full Migrant,30337868.193754296749830,,,0.001809569086681,0.001272790162597,0.001420076111682,,80.000000000000000
103,Aquila rapax,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,true,false,true,VU,A2ace+3ce+4ace,Tawny Eagle,Nomadic,17570851.236544832587242,,,0.003124405738809,0.002197602134999,0.002451906360217,,60.000000000000000
104,Aquila spilogaster,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,true,false,true,LC,,African Hawk-eagle,Not a Migrant,12422933.476080052554607,,,0.004419122789712,0.003108262655155,0.003467947565223,,20.000000000000000
105,Aquila verreauxii,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,false,false,true,LC,,Verreaux's Eagle,Not a Migrant,4020849.637256123125553,,,0.013653449741207,0.009603378309249,0.010424550053405,,20.000000000000000
106,Arcanator orostruthus,AVES,MODULATRICIDAE,PASSERIFORMES,false,false,true,NT,,Dapple-throat,Not a Migrant,8795.876695005314104,,,,,3.531126547439891,,
107,Ardea alba,AVES,ARDEIDAE,PELECANIFORMES,true,true,true,LC,,Great White Egret,Full Migrant,80818411.779747173190117,,,0.000679281703640,0.000477783952206,0.000533072612448,10.000000000000000,10.000000000000000
108,Ardea brachyrhyncha,AVES,ARDEIDAE,PELECANIFORMES,true,true,true,LC,,Yellow-billed Egret,Not a Migrant,13575226.234701849520206,,,0.004044018677117,0.002844427011645,0.003173581136436,10.000000000000000,10.000000000000000
109,Ardea cinerea,AVES,ARDEIDAE,PELECANIFORMES,true,true,true,LC,,Grey Heron,Full Migrant,51695569.400077693164349,,,0.001061956935117,0.000746944866635,0.000833380546946,10.000000000000000,10.000000000000000
110,Ardea goliath,AVES,ARDEIDAE,PELECANIFORMES,true,true,true,LC,,Goliath Heron,Full Migrant,17919162.716805689036846,,,0.003063673750099,0.002154885292434,0.002404246369218,10.000000000000000,10.000000000000000
111,Ardea melanocephala,AVES,ARDEIDAE,PELECANIFORMES,true,true,true,LC,,Black-headed Heron,Full Migrant,19064382.472063008695841,,,0.002879635284262,0.002025438812286,0.002259820477502,10.000000000000000,10.000000000000000
112,Ardea purpurea,AVES,ARDEIDAE,PELECANIFORMES,true,true,true,LC,,Purple Heron,Full Migrant,42290223.097843602299690,,,0.001298136174695,0.000913065417079,0.001018724394091,10.000000000000000,10.000000000000000
113,Ardeola idae,AVES,ARDEIDAE,PELECANIFORMES,true,true,true,EN,C2a(ii),Madagascar Pond-heron,Full Migrant,3977014.601012027356774,,,0.013803939373332,0.009709227665734,0.010832769356778,40.000000000000000,40.000000000000000
114,Ardeola ralloides,AVES,ARDEIDAE,PELECANIFORMES,true,true,true,LC,,Squacco Heron,Full Migrant,34074843.578443214297295,,,0.001611114319948,0.001133203740240,0.001264336894229,10.000000000000000,10.000000000000000
115,Ardeola rufiventris,AVES,ARDEIDAE,PELECANIFORMES,true,false,true,LC,,Rufous-bellied Heron,Not a Migrant,5545769.793723267503083,,,0.009899161068921,0.006962737659049,0.007768458393290,10.000000000000000,10.000000000000000
116,Argya aylmeri,AVES,LEIOTRICHIDAE,PASSERIFORMES,false,false,true,LC,,Scaly Chatterer,Not a Migrant,1055309.700434712925926,,,,,0.038965117166344,,
117,Arizelocichla chlorigula,AVES,PYCNONOTIDAE,PASSERIFORMES,false,false,true,LC,,Yellow-throated Mountain Greenbul,Altitudinal Migrant,50902.878924023578293,,,1.078494372021007,0.732843492299186,0.761127674843683,,
118,Arizelocichla masukuensis,AVES,PYCNONOTIDAE,PASSERIFORMES,false,false,true,LC,,Shelley's Greenbul,Altitudinal Migrant,163721.703849553654436,,,0.309544604835349,0.207843919978088,0.251972648927531,,
119,Arizelocichla striifacies,AVES,PYCNONOTIDAE,PASSERIFORMES,false,false,true,LC,,Olive-headed Bulbul,Altitudinal Migrant,192549.178057211451232,,,0.252019159803555,0.200539626192029,0.223745862412889,,
120,Arthroleptis reichei,AMPHIBIA,ARTHROLEPTIDAE,ANURA,false,false,true,LC,,Poroto Screeching Frog,,10945.232360914273158,,,,0.663933102883228,3.259168659372710,,
121,Arthroleptis stenodactylus,AMPHIBIA,ARTHROLEPTIDAE,ANURA,false,false,true,LC,,Dune Squeaker,,2386661.016030339989811,,,0.023002206040361,0.016178979725994,0.018051194372362,,
122,Arthroleptis xenodactyloides,AMPHIBIA,ARTHROLEPTIDAE,ANURA,false,false,true,LC,,,,1109332.767869351897389,,,0.049487827304216,0.034808076809395,0.038836031125313,,
123,Artisornis metopias,AVES,CISTICOLIDAE,PASSERIFORMES,false,false,true,LC,,Red-capped Forest-warbler,Not a Migrant,68472.472870495665120,,,0.801759687328038,0.563181635554478,0.590587248315120,,
124,Arvicanthis neumanni,MAMMALIA,MURIDAE,RODENTIA,false,false,true,LC,,Neumann’s Arvicanthis,,1218458.960468929260969,,,,0.031690636651656,0.035357844046486,,
125,Ascolepis capensis,LILIOPSIDA,CYPERACEAE,POALES,true,false,true,LC,,,,9735707.386236794292927,,,0.005638878230547,0.003966197694660,0.004425161951992,,
126,Ascolepis lineariglumis,LILIOPSIDA,CYPERACEAE,POALES,true,false,true,LC,,,,7462388.159484090283513,,,0.007356688940049,0.005174448094354,0.005773229826775,,
127,Asio capensis,AVES,STRIGIDAE,STRIGIFORMES,true,true,true,LC,,Marsh Owl,Nomadic,7713907.457668303512037,,,0.007116817091791,0.005005730286898,0.005584988170746,10.000000000000000,10.000000000000000
128,Aspatharia subreniformis,BIVALVIA,IRIDINIDAE,UNIONIDA,true,false,false,LC,,,Not a Migrant,1699023.689099859679118,,,0.032311773397528,,,,
129,Aspilia helianthoides,MAGNOLIOPSIDA,ASTERACEAE,ASTERALES,true,false,true,LC,,,,7301469.943423591554165,,,0.007518824136046,0.005288488549618,0.005900466924487,,
130,Atelerix albiventris,MAMMALIA,ERINACEIDAE,EULIPOTYPHLA,false,false,true,LC,,Four-toed Hedgehog,,7028223.842340403236449,,,,0.005494096525292,0.006129867640493,,
131,Atheris barbouri,REPTILIA,VIPERIDAE,SQUAMATA,false,false,true,VU,B1ab(iii),Uzungwe Mountain Bush Viper,,18744.409447639449354,,,1.467611437484687,0.169923721711485,1.835574397057819,,
132,Atheris matildae,REPTILIA,VIPERIDAE,SQUAMATA,false,false,true,CR,B1ab(iii),Matilda's Horned Viper,,15755.265404187641252,,,3.022403433908889,,,,
133,Atilax paludinosus,MAMMALIA,HERPESTIDAE,CARNIVORA,true,false,true,LC,,Marsh Mongoose,,14049136.185775976628065,,,0.003907604546877,0.002748477890781,0.003066528883457,,
134,Atoconeura biordinata,INSECTA,LIBELLULIDAE,ODONATA,true,false,true,LC,,,,1207639.385029634227976,,,0.045459322641981,0.031974561835136,0.035674624755838,,
135,Atractaspis bibronii,REPTILIA,ATRACTASPIDIDAE,SQUAMATA,false,false,true,LC,,Bibron's Stiletto Snake,,4945503.407819774001837,,,0.000535559285934,0.007807848262751,0.008711364313931,,
136,Aviceda cuculoides,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,true,false,true,LC,,African Cuckoo-hawk,Full Migrant,10593429.717263460159302,,,0.005182312990642,0.003645065028208,0.004066868148575,,10.000000000000000
