,Scientific Name,Common Name,Class,Biome,IUCN Red List status,percentage of species global range in EAAA,CH trigger,Criterion,Justification
49,Prinia khasiana,Rufous-crowned Prinia,AVES,[1],LC,4.943549,Likely,3,Migratory
50,Psilorhynchus gracilis,Rainbow minnow,ACTINOPTERYGII,[1],LC,2.596432,Likely,3,Migratory
51,Pycnonotus flavescens,Flavescent Bulbul,AVES,[1],LC,1.211034,Likely,3,Migratory
52,Sarcogyps calvus,Red-headed Vulture,AVES,[1],CR,0.066950,Likely,1a,CR with 0.06% range overlap
53,Sarcogyps calvus,Red-headed Vulture,AVES,[1],CR,0.208050,Likely,1a,CR with 0.20% range overlap
54,Saroglossa spilopterus,Spot-winged Starling,AVES,[1],LC,1.677934,Likely,3,Migratory
55,Sisor barakensis,,ACTINOPTERYGII,[1],VU,27.21753,Likely,1b,VU with 27.217% range overlap
56,Staphida castaniceps,Striated Yuhina,AVES,[1],LC,1.531183,Likely,3,Migratory
57,Sterna acuticauda,Black-bellied Tern,AVES,[1],EN,0.322501,Likely,1a,EN with 0.32% range overlap
58,Tor putitora,,ACTINOPTERYGII,[1],EN,1.132250,Likely,"1a, 3","EN with 1.13% range overlap, Migratory"
59,Trachypithecus phayrei ssp. phayrei,,MAMMALIA,[1],EN,0.090460,Likely,1a,EN with 0.09% range overlap
60,Trachypithecus pileatus ssp. pileatus,Blond-bellied Langur,MAMMALIA,[1],EN,4.276197,Likely,1a,EN with 4.27% range overlap
61,Yuhina bakeri,White-naped Yuhina,AVES,[1],LC,3.374066,Likely,3,Migratory
62,Zoothera dixoni,Long-tailed Thrush,AVES,[1],LC,1.017644,Likely,3,Migratory
