sci_name,class_name,family_name,order_name,biome_freshwater,biome_marine,biome_terrestrial,category,legend,criteria,common_name,movementpattern,Range_Areakm2,FW_Width,FW_Length,Avian_EAAA,Districts,FW_EAAA,Terrestrial_EAAA,Sensitivity_Score_TL,Sensitivity_Score_WF,aoo_km2,eoo_km2
Aceros nipalensis,AVES,BUCEROTIDAE,BUCEROTIFORMES,FALSE,FALSE,TRUE,VU,Extant (resident),A2cd+3cd+4cd,Rufous-necked Hornbill,Not a Migrant,486932.6423,,,0.002587124,1.141301352,,,45,45,,
Aciagrion azureum,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Probably Extant (resident),,,,2033716.654,,,0.109987378,0.604035769,0.031020197,0.013187249,,,,
Aciagrion pallidum,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Probably Extant (resident),,,,722739.2228,,,,0.009952152,,,,,,
Aciagrion tillyardi,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,FALSE,LC,Probably Extant (resident),,,,1640075.84,,,0.136385865,0.726845264,0.038465472,0.01635237,,,,
Acridotheres albocinctus,AVES,STURNIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Collared Myna,Not a Migrant,329722.5494,,,,0.799468888,,,,,,
Acridotheres fuscus,AVES,STURNIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Jungle Myna,Not a Migrant,2433290.982,,,0.091926187,0.504846158,0.025926325,0.011021751,,,,
Acridotheres ginginianus,AVES,STURNIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (resident),,Bank Myna,Not a Migrant,1648246.5,,,,0.130859451,,,,,,
Acridotheres grandis,AVES,STURNIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (resident),,Great Myna,Not a Migrant,1716385.357,,,0.130322227,0.694103156,0.036755319,0.015625353,,,,
Acridotheres tristis,AVES,STURNIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Common Myna,Not a Migrant,10057436.49,,,0.022240574,0.122142218,0.006272602,0.002666597,,,,
Acrocephalus agricola,AVES,ACROCEPHALIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (non-breeding),,Paddyfield Warbler,Full Migrant,7863598.498,,,0.028445395,0.156218251,0.008022573,0.003410541,,,,
Acrocephalus bistrigiceps,AVES,ACROCEPHALIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (non-breeding),,Black-browed Reed-warbler,Full Migrant,6266987.897,,,0.033399122,0.161877646,0.010066445,0.004279429,,,,
Acrocephalus concinens,AVES,ACROCEPHALIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (non-breeding),,Blunt-winged Warbler,Full Migrant,4264290.375,,,0.052454955,0.212081758,0.014794089,0.006289236,,,,
Acrocephalus concinens,AVES,ACROCEPHALIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (resident),,Blunt-winged Warbler,Full Migrant,4264290.375,,,,0.075993747,,,,,,
Acrocephalus stentoreus,AVES,ACROCEPHALIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (non-breeding),,Clamorous Reed-warbler,Full Migrant,9016158.84,,,0.024809142,0.114755602,0.006997025,0.002974562,,,,
Acrocephalus stentoreus,AVES,ACROCEPHALIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (resident),,Clamorous Reed-warbler,Full Migrant,9016158.84,,,,0.021492841,,,,,,
Actinodura egertoni,AVES,LEIOTRICHIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Rusty-fronted Barwing,Not a Migrant,263429.9898,,,,0.833242422,,,,,,
Actitis hypoleucos,AVES,SCOLOPACIDAE,CHARADRIIFORMES,TRUE,TRUE,TRUE,LC,Extant (non-breeding),,Common Sandpiper,Full Migrant,61386442.87,,,0.003643853,0.020011546,0.001027691,0.00043689,10,10,,
Adenosma indianum,MAGNOLIOPSIDA,PLANTAGINACEAE,LAMIALES,TRUE,FALSE,TRUE,LC,Possibly Extant (resident),,,,5644381.05,,,,0.001287541,,,,,,
Aegithina tiphia,AVES,AEGITHINIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Common Iora,Not a Migrant,6390403.886,,,0.035002977,0.192231606,0.009872035,0.004196781,,,,
Aegypius monachus,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,FALSE,FALSE,TRUE,NT,Extant (non-breeding),C1,Cinereous Vulture,Full Migrant,17765810.56,,,0.012590653,0.069146161,0.003550994,0.001509592,,40,,
Aerodramus brevirostris,AVES,APODIDAE,CAPRIMULGIFORMES,TRUE,FALSE,TRUE,LC,Extant (resident),,Himalayan Swiftlet,Full Migrant,3149306.038,,,0.071026175,0.33902344,0.020031807,0.008515885,,10,,
Aeschynomene aspera,MAGNOLIOPSIDA,FABACEAE,FABALES,TRUE,FALSE,TRUE,LC,Possibly Extant (resident),,Sola Pith Plant,,15782157.13,,,0.014173168,0.077837117,0.003997317,0.001699332,,,,
Aethopyga gouldiae,AVES,NECTARINIIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Gould's Sunbird,Not a Migrant,3576673.999,,,0.039067351,0.194189339,0.012213191,0.007064943,,,,
Aethopyga ignicauda,AVES,NECTARINIIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Fire-tailed Sunbird,Not a Migrant,758485.6706,,,,0.394962541,,,,,,
Aethopyga nipalensis,AVES,NECTARINIIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Green-tailed Sunbird,Not a Migrant,1015410.669,,,0.049274864,0.560727031,0.000927837,,,,,
Aethopyga saturata,AVES,NECTARINIIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Black-throated Sunbird,Not a Migrant,1687864.937,,,0.023416289,0.215131663,0.001292186,,,,,
Aethopyga siparaja,AVES,NECTARINIIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Crimson Sunbird,Not a Migrant,4937774.94,,,0.045300396,0.248783636,0.012776259,0.00543142,,,,
Aethriamanta brevipennis,INSECTA,LIBELLULIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Extant (resident),,,,2955798.099,,,0.064882393,0.415602569,0.018948426,0.008492301,,,,
Agriocnemis clauseni,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Extant (resident),,,,2399665.652,,,,0.030767542,,,,,,
Agriocnemis clauseni,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Probably Extant (resident),,,,2399665.652,,,0.093214303,0.481152775,0.026289617,0.011176193,,,,
Agriocnemis dabreui,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Extant (resident),,,,1125991.694,,,,0.000248461,,,,,,
Agriocnemis dabreui,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Probably Extant (resident),,,,1125991.694,,,0.198654362,1.090734367,0.056027316,0.023818228,,,,
Agriocnemis femina,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Extant (resident),,,,6207742.192,,,0.03089356,0.197887941,0.009022237,0.004043584,,,,
Agriocnemis kalinga,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Extant (resident),,,,2447.006876,419.0534812,1242.372934,,2.222044868,,,,,,
Agriocnemis lacteola,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,FALSE,LC,Probably Extant (resident),,,,4632422.457,,,0.048286434,0.265182551,0.013618424,0.005789439,,,,
Agriocnemis pygmaea,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Extant (resident),,Wandering Midget,Nomadic,12643692.97,,,0.002523306,2.53E-08,0.00055985,0.000135846,,,,
Ahaetulla nasuta,REPTILIA,COLUBRIDAE,SQUAMATA,FALSE,FALSE,TRUE,LC,Extant (resident),,Long-nosed Tree Snake,,3520194.05,,,0.06354285,0.348968718,0.017921254,0.00761865,,,,
Ahaetulla prasina,REPTILIA,COLUBRIDAE,SQUAMATA,FALSE,FALSE,TRUE,LC,Extant (resident),,Gunther's Whip Snake,,4620184.145,,,,0.106626352,,,,,,
Ailia punctata,ACTINOPTERYGII,AILIIDAE,SILURIFORMES,TRUE,FALSE,FALSE,LC,Extant (resident),,,Unknown,11669.76376,618.2701799,2151.09889,,2.285452521,,,,,,
Alauda gulgula,AVES,ALAUDIDAE,PASSERIFORMES,TRUE,TRUE,TRUE,LC,Extant (resident),,Oriental Skylark,Full Migrant,11943342.31,,,,0.019278848,,,,10,,
Alcedo atthis,AVES,ALCEDINIDAE,CORACIIFORMES,TRUE,TRUE,TRUE,LC,Extant (resident),,Common Kingfisher,Full Migrant,28255967.95,,,0.007916316,0.043475333,0.002232671,0.000949149,,,,
Alcedo hercules,AVES,ALCEDINIDAE,CORACIIFORMES,TRUE,FALSE,TRUE,NT,Extant (resident),C2a(ii),Blyth's Kingfisher,Not a Migrant,730935.7916,,,0.306022997,1.677330385,0.086308938,0.036691495,,,,
Alcedo meninting,AVES,ALCEDINIDAE,CORACIIFORMES,TRUE,TRUE,TRUE,LC,Extant (resident),,Blue-eared Kingfisher,Not a Migrant,3675890.258,,,0.060851425,0.334187779,0.01716218,0.007295954,,,,
Alcippe nipalensis,AVES,ALCIPPEIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Nepal Fulvetta,Not a Migrant,352326.6373,,,0.634874398,3.277029244,0.179056266,0.076120067,,,,
Alcippe poioicephala,AVES,ALCIPPEIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Brown-cheeked Fulvetta,Not a Migrant,2034284.765,,,0.078909817,0.484548927,0.01624223,0.00652467,,,,
Alcurus striatus,AVES,PYCNONOTIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Striated Bulbul,Altitudinal Migrant,1087632.39,,,0.000907516,0.321624053,,,,,,
Alexandrinus krameri,AVES,PSITTACIDAE,PSITTACIFORMES,TRUE,FALSE,TRUE,LC,Extant (resident),,Rose-ringed Parakeet,Not a Migrant,8416562.111,,,0.026576547,0.145954796,0.007495494,0.003186471,10,10,,
Alisma plantago-aquatica,LILIOPSIDA,ALISMATACEAE,ALISMATALES,TRUE,FALSE,FALSE,LC,Possibly Extant (resident),,Common Water-plantain,,52160137.01,,,0.004288393,0.023551273,0.001209473,0.000514169,,,,20000000
Alocasia odora,LILIOPSIDA,ARACEAE,ALISMATALES,TRUE,FALSE,TRUE,LC,Possibly Extant (resident),,,,5675232.214,,,0.039413922,0.216455919,0.011116072,0.004725644,,,,
Alophoixus flaveolus,AVES,PYCNONOTIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,White-throated Bulbul,Altitudinal Migrant,562447.999,,,0.313844283,2.129240279,0.088995211,0.04134105,,,,
Alternanthera sessilis,MAGNOLIOPSIDA,AMARANTHACEAE,CARYOPHYLLALES,TRUE,FALSE,TRUE,LC,Extant (resident),,Sessile Joyweed,,29679007.03,,,0.007536747,0.041390792,0.00212562,0.00090364,,,,
Amandava amandava,AVES,ESTRILDIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (resident),,Red Avadavat,Not a Migrant,3966943.436,,,0.045416875,0.281726271,0.015309782,0.006760653,,,,
Amaurornis phoenicurus,AVES,RALLIDAE,GRUIFORMES,TRUE,TRUE,TRUE,LC,Extant (resident),,White-breasted Waterhen,Full Migrant,10078716.17,,,0.022193617,0.121884333,0.006259358,0.002660967,10,10,,
Amblyceps apangi,ACTINOPTERYGII,AMBLYCIPITIDAE,SILURIFORMES,TRUE,FALSE,FALSE,LC,Extant (seasonality uncertain),,,,292655.9026,466.8544908,986.1134003,0.482557795,2.099769147,0.150517754,0.054777346,,,,
Amblypharyngodon microlepis,ACTINOPTERYGII,DANIONIDAE,CYPRINIFORMES,TRUE,FALSE,FALSE,LC,Extant (resident),,Indian Carplet,,1609454.368,,,,0.004515425,,,,,,1285760
Amolops assamensis,AMPHIBIA,RANIDAE,ANURA,TRUE,FALSE,TRUE,VU,Extant (resident),B1ab(iii),Assamese Cascade Frog,Not a Migrant,5603.381014,,,,0.870512149,,,,,,
Amolops formosus,AMPHIBIA,RANIDAE,ANURA,TRUE,FALSE,TRUE,LC,Presence Uncertain,,Assam Sucker Frog,Not a Migrant,201830.4125,,,,0.34712391,,,,,,
Amolops gerbillus,AMPHIBIA,RANIDAE,ANURA,TRUE,FALSE,TRUE,LC,Presence Uncertain,,Yembung Sucker Frog,Not a Migrant,84618.7258,,,,1.904996218,,,,,,
Amolops indoburmanensis,AMPHIBIA,RANIDAE,ANURA,TRUE,FALSE,TRUE,LC,Possibly Extant (resident),,Indoburman Torrent Frog,Not a Migrant,63228.25775,,,,0.947498963,,,,,,
Amolops marmoratus,AMPHIBIA,RANIDAE,ANURA,TRUE,FALSE,TRUE,LC,Presence Uncertain,,Marbled Sucker Frog,Not a Migrant,264672.6793,,,0.845131286,4.22501236,0.23835589,0.101329413,,,,
Amphiallagma parvum,INSECTA,COENAGRIONIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Probably Extant (resident),,,,3491460.891,,,0.064065779,0.349780459,0.018068738,0.007681348,,,,
Amphiesma stolatum,REPTILIA,NATRICIDAE,SQUAMATA,TRUE,FALSE,TRUE,LC,Extant (resident),,Buff Striped Keelback,,6891678.935,,,0.032456991,0.178249395,0.00915398,0.003891523,,,,
Anabas testudineus,ACTINOPTERYGII,ANABANTIDAE,PERCIFORMES,TRUE,FALSE,FALSE,LC,Extant (resident),,Climbing Perch,Full Migrant,7779572.844,,,0.028752628,0.157905534,0.008109223,0.003447378,,,,
Anas acuta,AVES,ANATIDAE,ANSERIFORMES,TRUE,TRUE,TRUE,LC,Extant (non-breeding),,Northern Pintail,Full Migrant,52952537.75,,,0.00422422,0.023198843,0.001191374,0.000506475,15,10,,
Anas crecca,AVES,ANATIDAE,ANSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (non-breeding),,Common Teal,Full Migrant,39477991.03,,,0.004054445,0.021487021,0.001185077,0.00067907,15,10,,
Anas platyrhynchos,AVES,ANATIDAE,ANSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (non-breeding),,Mallard,Full Migrant,48491569.58,,,0.004612826,0.023185209,0.001300974,0.000553068,15,10,,
Anas poecilorhyncha,AVES,ANATIDAE,ANSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (resident),,Indian Spot-billed Duck,Full Migrant,5286678.355,,,0.042310719,0.232364733,0.011933068,0.005072964,15,10,,
Anastomus oscitans,AVES,CICONIIDAE,CICONIIFORMES,TRUE,FALSE,TRUE,LC,Extant (non-breeding),,Asian Openbill,Not a Migrant,3429598,,,,0.00502722,,,15,20,,
Anastomus oscitans,AVES,CICONIIDAE,CICONIIFORMES,TRUE,FALSE,TRUE,LC,Extant (resident),,Asian Openbill,Not a Migrant,3429598,,,0.061159976,0.264476944,0.018394661,0.007819904,15,20,,
Anax ephippiger,INSECTA,AESHNIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Extant (resident),,Vagrant Emperor,Full Migrant,46608828.74,,,0.004799159,0.026356329,0.001353527,0.000575409,,,,
Anax guttatus,INSECTA,AESHNIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Possibly Extant (resident),,Lesser Green Emperor,,9115493.693,,,0.024538787,0.134763694,0.006920776,0.002942148,,,,
Anax indicus,INSECTA,AESHNIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Probably Extant (resident),,,,3207718.853,,,0.069732783,0.380720646,0.019667027,0.00836081,,,,
Anax nigrofasciatus,INSECTA,AESHNIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Probably Extant (resident),,Blue-spotted Emperor,,10811374.24,,,0.020689614,0.113624557,0.005835178,0.00248064,,,,
Anguilla bengalensis,ACTINOPTERYGII,ANGUILLIDAE,ANGUILLIFORMES,TRUE,TRUE,FALSE,NT,Extant (non-breeding),A2cd,Indian Mottled Eel,Full Migrant,12582627.76,,,0.017777142,0.097629655,0.005013761,0.002131441,,,,
Anguilla bicolor,ACTINOPTERYGII,ANGUILLIDAE,ANGUILLIFORMES,TRUE,TRUE,FALSE,NT,Extant (non-breeding),A2bcde,Shortfin Eel,Full Migrant,22062535.31,,,,0.009161447,,,,,,
Anguilla marmorata,ACTINOPTERYGII,ANGUILLIDAE,ANGUILLIFORMES,TRUE,TRUE,FALSE,LC,Extant (non-breeding),,Marbled Eel,Full Migrant,17914460.93,,,,0.006684082,,,,,,
Angulyagra microchaetophora,GASTROPODA,VIVIPARIDAE,ARCHITAENIOGLOSSA,TRUE,FALSE,FALSE,LC,Probably Extant (resident),,,,202035.5233,540.3277445,778.2537374,1.107147684,6.080305003,0.312253464,0.132744612,,,,
Angulyagra oxytropis,GASTROPODA,VIVIPARIDAE,ARCHITAENIOGLOSSA,TRUE,FALSE,FALSE,LC,Probably Extant (resident),,,,12220772.73,,,0.000973994,0.010524709,,,,,,
Anhinga melanogaster,AVES,ANHINGIDAE,SULIFORMES,TRUE,TRUE,TRUE,NT,Extant (resident),A2bcd+3bcd+4bcd,Oriental Darter,Not a Migrant,6904071.457,,,0.032398732,0.147629101,0.009137549,0.003884538,30,20,,
Anisogomphus caudalis,INSECTA,GOMPHIDAE,ODONATA,TRUE,FALSE,FALSE,DD,Probably Extant (resident),,,,1264260.237,,,,0.064088566,,,,,,
Anisopleura comes,INSECTA,EUPHAEIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Probably Extant (resident),,,,856881.2217,,,0.26104337,1.433614802,0.073623147,0.031298535,,,,
Anisopleura subplatystyla,INSECTA,EUPHAEIDAE,ODONATA,TRUE,FALSE,TRUE,LC,Extant (resident),,,,91016.73346,505.5159039,1860.990643,,0.293030631,,,,,,
Anisopleura vallei,INSECTA,EUPHAEIDAE,ODONATA,TRUE,FALSE,TRUE,VU,Extant (resident),D2,,,708.5059096,11.42642322,248.3262257,0.858981697,,,,,,,
Anorrhinus austeni,AVES,BUCEROTIDAE,BUCEROTIFORMES,FALSE,FALSE,TRUE,NT,Extant (resident),C1,Austen's Brown Hornbill,Not a Migrant,778318.1741,,,,0.11280068,,,20,30,,
Anser anser,AVES,ANATIDAE,ANSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (non-breeding),,Greylag Goose,Full Migrant,19076377.6,,,0.011725662,0.064395748,0.003307037,0.001405882,15,10,,
Anser indicus,AVES,ANATIDAE,ANSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (non-breeding),,Bar-headed Goose,Full Migrant,4480208.486,,,0.049926954,0.274192062,0.014081106,0.005986134,15,10,,
Anthipes monileger,AVES,MUSCICAPIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,White-gorgeted Flycatcher,Altitudinal Migrant,945817.1013,,,0.236497269,1.236339098,0.066700308,0.028355511,,,,
Anthracoceros albirostris,AVES,BUCEROTIDAE,BUCEROTIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Oriental Pied Hornbill,Not a Migrant,4492329.618,,,0.049792242,0.273452241,0.014043113,0.005969982,10,15,,
Anthropoides virgo,AVES,GRUIDAE,GRUIFORMES,TRUE,FALSE,TRUE,LC,Extant (passage),,Demoiselle Crane,Full Migrant,20948930.62,,,,0.006774532,,,20,20,,
Anthus godlewskii,AVES,MOTACILLIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (passage),,Blyth's Pipit,Full Migrant,9037752.09,,,,0.017900928,,,,15,,
Anthus hodgsoni,AVES,MOTACILLIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (non-breeding),,Olive-backed Pipit,Full Migrant,18938912.95,,,,0.029149833,,,,15,,
Anthus hodgsoni,AVES,MOTACILLIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Olive-backed Pipit,Full Migrant,18938912.95,,,0.011810771,0.03571332,0.003331041,0.001416086,,15,,
Anthus richardi,AVES,MOTACILLIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (non-breeding),,Richard's Pipit,Full Migrant,23136786.56,,,0.009667858,0.053094564,0.002726666,0.001159155,,15,,
Anthus roseatus,AVES,MOTACILLIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (non-breeding),,Rosy Pipit,Full Migrant,5532057.599,,,0.04043399,0.171719731,0.011403766,0.004847948,,15,,
Anthus rufulus,AVES,MOTACILLIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Paddyfield Pipit,Not a Migrant,7716710.608,,,0.028986854,0.159191871,0.008175283,0.003475461,,15,,
Aonyx cinereus,MAMMALIA,MUSTELIDAE,CARNIVORA,TRUE,TRUE,TRUE,VU,Extant (resident),A2cde+3cde,Asian Small-clawed Otter,Not a Migrant,4819048.825,,,0.046416455,0.254912878,0.013091026,0.005565233,,,,
Aplocheilus panchax,ACTINOPTERYGII,APLOCHEILIDAE,CYPRINODONTIFORMES,TRUE,FALSE,FALSE,LC,Extant (resident),,Blue Panchax,,2625038.75,,,0.053798591,0.165278464,0.01678067,0.006106925,,,,
Apus nipalensis,AVES,APODIDAE,CAPRIMULGIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,House Swift,Not a Migrant,5798075.928,,,0.03857886,0.211869872,0.010880556,0.004625522,,10,,
Apus pacificus,AVES,APODIDAE,CAPRIMULGIFORMES,FALSE,FALSE,TRUE,LC,Extant (breeding),,Pacific Swift,Full Migrant,28625864.32,,,0.007814023,0.029576386,0.002203821,0.000936884,,10,,
Apus pacificus,AVES,APODIDAE,CAPRIMULGIFORMES,FALSE,FALSE,TRUE,LC,Extant (passage),,Pacific Swift,Full Migrant,28625864.32,,,,0.013337169,,,,10,,
Aquila nipalensis,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,FALSE,FALSE,TRUE,EN,Extant (non-breeding),A2abcd+3bcd+4abcd,Steppe Eagle,Full Migrant,30447000.28,,,0.00734664,0.023898306,0.002072004,0.000880846,,80,,
Aquila nipalensis,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,FALSE,FALSE,TRUE,EN,Extant (passage),A2abcd+3bcd+4abcd,Steppe Eagle,Full Migrant,30447000.28,,,,0.016448447,,,,80,,
Arachnothera longirostra,AVES,NECTARINIIDAE,PASSERIFORMES,TRUE,FALSE,TRUE,LC,Extant (resident),,Little Spiderhunter,Not a Migrant,3534753.756,,,0.063281116,0.34753131,0.017847436,0.007587269,,,,
Arachnothera magna,AVES,NECTARINIIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Streaked Spiderhunter,Not a Migrant,1994413.512,,,0.112154857,0.61593927,0.031631501,0.013447125,,,,
Arborophila atrogularis,AVES,PHASIANIDAE,GALLIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,White-cheeked Partridge,Not a Migrant,356604.8911,,,0.627257694,3.44481423,0.176908095,0.075206841,20,20,,
Arborophila rufogularis,AVES,PHASIANIDAE,GALLIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Rufous-throated Partridge,Not a Migrant,1251287.141,,,0.178762455,0.946333232,0.050417118,0.021433232,10,10,,
Arborophila torqueola,AVES,PHASIANIDAE,GALLIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Hill Partridge,Not a Migrant,724255.457,,,,0.641981895,,,10,10,,
Arctictis binturong,MAMMALIA,VIVERRIDAE,CARNIVORA,FALSE,FALSE,TRUE,VU,Extant (resident),A2cd+3cd+4cd,Binturong,Not a Migrant,3067746.904,,,0.072914477,0.400436425,0.020564373,0.008742288,,,,
Arctogalidia trivirgata,MAMMALIA,VIVERRIDAE,CARNIVORA,FALSE,FALSE,TRUE,LC,Extant (resident),,Small-toothed Palm Civet,Not a Migrant,2554839.039,,,0.087552741,0.367000663,0.024692864,0.010497384,,,,
Arctonyx albogularis,MAMMALIA,MUSTELIDAE,CARNIVORA,FALSE,FALSE,TRUE,LC,Extant (resident),,Northern Hog Badger,Not a Migrant,4223811.851,,,0.052957653,0.205134787,0.014935867,0.006349508,,,,
Arctonyx collaris,MAMMALIA,MUSTELIDAE,CARNIVORA,FALSE,FALSE,TRUE,VU,Extant (resident),A2cd+3cd+4cd,Greater Hog Badger,Not a Migrant,1888108.639,,,0.118469434,0.560523719,0.033412427,0.014204229,,,,
Ardea alba,AVES,ARDEIDAE,PELECANIFORMES,TRUE,TRUE,TRUE,LC,Extant (resident),,Great White Egret,Full Migrant,81144138.06,,,0.002756615,0.015138957,0.00077746,0.000330512,10,10,,
Ardea cinerea,AVES,ARDEIDAE,PELECANIFORMES,TRUE,TRUE,TRUE,LC,Extant (resident),,Grey Heron,Full Migrant,51846755.12,,,0.004314314,0.023693626,0.001216784,0.000517277,10,10,,
